home_off_k,home_off_bb,home_off_chit,home_off_hr,away_off_k,away_off_bb,away_off_chit,away_off_hr,home_sp_k,home_sp_bb,home_sp_chit,home_sp_stam,away_sp_k,away_sp_bb,away_sp_chit,away_sp_stam,home_pen_k,home_pen_bb,home_pen_chit,away_pen_k,away_pen_bb,away_pen_chit,park_runs,park_hr,sim_home_wp,sim_total,home_won,actual_total,date
0.2363618023849247,0.0791028014058701,0.3124366653186376,0.14596331862317324,0.23667263716014583,0.08897236548280604,0.3218485417484118,0.1322422754918819,0.21136299491098287,0.10412862580542886,0.3167775045041117,25.0,0.20977964304278723,0.07980943203021831,0.2969073728546608,25.0,0.20563291782344886,0.10156243033618745,0.3446968734015936,0.21355381052619996,0.09013922390714335,0.2743146683130432,100,103,0.44333333333333336,9.22,0,14,2025-05-01
0.2009412765712265,0.08151916533314758,0.3006297821067832,0.12223240140218694,0.22335804878014867,0.09162295409457329,0.3178121642235651,0.13991263470227183,0.20927693983903994,0.09356161078348436,0.31552541000091416,24.5,0.20674322224822356,0.08942380831107113,0.33639434047542627,24.5,0.25374763772956677,0.08861664992242536,0.31217076739809535,0.22487322739792454,0.08292362742429452,0.3039005247966998,101,102,0.48,9.203333333333333,1,6,2025-05-01
0.20034445294942288,0.09335924730949474,0.30719459431251267,0.13538149339494288,0.2137843045730058,0.09465205893441314,0.31862192701864844,0.14897472212576615,0.2188652174985288,0.0868346892407624,0.2990216904291171,23.0,0.228093211693119,0.09537044402351981,0.313635799071571,25.0,0.24239031216016133,0.0852475401294523,0.3103467987096113,0.23550816597487906,0.09249460776454084,0.31409134590494614,98,97,0.56,8.68,0,6,2025-05-01
0.2267656567001431,0.08648302270533087,0.3010995439927391,0.12528652764049927,0.2182448276768602,0.08853328321661896,0.30840216617574695,0.1286776194265221,0.20816434772034925,0.10071010525347138,0.3055837583191907,21.0,0.2135593934201223,0.0924739218655567,0.30546026887721195,25.0,0.225350772893126,0.10768725270843935,0.3053747057845547,0.24720656315224748,0.08369338877323473,0.2937166572590415,99,103,0.38333333333333336,6.933333333333334,1,10,2025-05-02
0.19355472054513626,0.09494832134676108,0.31397745203650407,0.12340175591536015,0.2169849134401897,0.09266287822032455,0.3142867349024141,0.14601067387911262,0.21006686432077,0.09373990627068202,0.2988247533907048,22.0,0.2230860811906894,0.09301537174881835,0.3395031883606017,23.0,0.21867927068607143,0.10045276020265742,0.31002945971731277,0.19644852570937102,0.10205379172523124,0.30377105168348556,98,102,0.5866666666666667,8.953333333333333,0,10,2025-05-02
0.21735467654115914,0.09954799060003573,0.3085952916485825,0.13543618787559678,0.2429353296496965,0.0880317403853293,0.3109732117017206,0.13690933692445392,0.22777482013670358,0.10964421870851396,0.3129917201203939,23.5,0.17716109061349036,0.07191682460343762,0.34782102821927985,23.5,0.2280370511653375,0.08361489774489578,0.278203561350177,0.1986303466998231,0.1114073577933282,0.30153656874298906,94,90,0.68,7.8933333333333335,1,4,2025-05-02
0.22592698230392105,0.09104140223204461,0.3078605291416355,0.12845157557719733,0.2060064502692417,0.08707354594854,0.3076647630066958,0.136318246551787,0.24697234354835787,0.07348483236113496,0.29548899312357113,25.5,0.1865027382756582,0.09769702799796878,0.2772020527407806,27.5,0.2051206902603654,0.09840946453554242,0.26418628701258284,0.2095308600797116,0.10971737459738298,0.33757049044955934,104,118,0.6266666666666667,8.796666666666667,1,7,2025-05-02
0.21039016668944177,0.09092274124601835,0.32566379016564473,0.13585952322517142,0.21241777887480978,0.09601598100525052,0.32448966928830064,0.14130083250535275,0.21923702149592328,0.10737241427957295,0.28943621120397595,25.0,0.2529639628078339,0.09010149720051927,0.30845634751891776,23.0,0.22670074159053227,0.10553184985413647,0.2866637324813519,0.2442765533640684,0.08876649705548187,0.32626700954441656,100,101,0.5266666666666666,8.653333333333334,0,3,2025-05-02
0.218984837149245,0.087894020771345,0.31978093732575497,0.14192419394389746,0.199365888534408,0.08409971687411905,0.31186564246551934,0.11396205299184158,0.1929323911330048,0.08011590564520371,0.32530600782743047,24.5,0.2099417495293044,0.08996492929083193,0.3033096065983423,24.5,0.22009431551386732,0.10606209934590663,0.3429730519126212,0.20667259840044683,0.09307427401917842,0.2968551299055555,101,103,0.4866666666666667,9.89,1,3,2025-05-02
0.21558416232733524,0.0868015007820578,0.3211752868744273,0.13170092089377794,0.21009481149797965,0.08907333211927686,0.31220224049152673,0.13936904443037582,0.21293946927432916,0.0934807149524163,0.31592614373232103,18.5,0.21834965030746661,0.09085803260679659,0.31030392742963786,22.0,0.19158123971753163,0.11436212929398087,0.31728337957688535,0.22440821577100065,0.11054073409007559,0.3241669781576667,96,95,0.51,8.263333333333334,0,7,2025-05-02
0.21997373513777133,0.09222060318689387,0.31202438333296617,0.1357725026562709,0.2105717856990277,0.08782478756405088,0.31041270160339357,0.1274953916769931,0.20688119161564733,0.09413118468869346,0.3052853559041663,25.5,0.23886047210824846,0.07064201100160222,0.305092310041138,22.5,0.22234935155406008,0.08372014206930646,0.3059842506167535,0.2425386408319596,0.08740588039776206,0.2971641966219182,108,97,0.48333333333333334,8.403333333333334,1,7,2025-05-02
0.20152528465641134,0.08970074516592023,0.31610127355127426,0.12349190943779176,0.20397778658035498,0.0961094018198784,0.312032278969544,0.13779479011671522,0.22514886640719856,0.07807442407630369,0.30095562978948515,25.5,0.23490008943793975,0.09250040266158852,0.3104882180352191,24.0,0.20164749131085533,0.09905094903006523,0.29376674520518786,0.24191478286580584,0.08530937221861792,0.30896363691552575,98,96,0.51,8.45,0,12,2025-05-02
0.2048368251850352,0.09935166644373902,0.3131699399713679,0.12612277474709532,0.21500601542319392,0.08898857549868364,0.3021803470201252,0.136832596964071,0.2446648898922933,0.08258377949641568,0.31175470864907495,24.5,0.20847108466032752,0.08837724882478856,0.2880423417201137,24.0,0.225409810065753,0.08731110393056678,0.3290523562016119,0.23807978186523743,0.09214309963939987,0.3159534995325874,101,106,0.5133333333333333,9.216666666666667,1,5,2025-05-02
0.22559102050050045,0.09000265528173074,0.3083626615842266,0.12054144692470731,0.2017674859760591,0.08596077220355601,0.3050242973630882,0.13600667869310673,0.23632317032156214,0.07589397499095597,0.3198092932192774,25.5,0.1983090828026282,0.09769497274260686,0.3151852498892902,24.0,0.2537770798786317,0.08765366741877462,0.30835382017215024,0.2351225192315851,0.08655202294712955,0.33956820108576335,101,102,0.54,8.483333333333333,1,8,2025-05-02
